annee,path_URL
1970,20191209-182920/deces-1970.txt
1971,20191209-182944/deces-1971.txt
1972,20191209-183014/deces-1972.txt
1973,20191209-183046/deces-1973.txt
1974,20191209-183125/deces-1974.txt
1975,20191209-183159/deces-1975.txt
1976,20191209-183230/deces-1976.txt
1977,20191209-183343/deces-1977.txt
1978,20191209-183422/deces-1978.txt
1979,20191209-183455/deces-1979.txt
1980,20191209-184308/deces-1980.txt
1981,20191209-184352/deces-1981.txt
1982,20191209-184439/deces-1982.txt
1983,20191209-184521/deces-1983.txt
1984,20191209-184602/deces-1984.txt
1985,20191209-184643/deces-1985.txt
1986,20191209-184725/deces-1986.txt
1987,20191209-184806/deces-1987.txt
1988,20191209-184849/deces-1988.txt
1989,20191209-184929/deces-1989.txt
1990,20191209-185413/deces-1990.txt
1991,20191209-185459/deces-1991.txt
1992,20191209-185542/deces-1992.txt
1993,20191209-185630/deces-1993.txt
1994,20191209-185711/deces-1994.txt
1995,20191209-185755/deces-1995.txt
1996,20191209-185847/deces-1996.txt
1997,20191209-185942/deces-1997.txt
1998,20191209-190302/deces-1998.txt
1999,20191209-190038/deces-1999.txt
2000,20191209-190504/deces-2000.txt
2001,20191209-190558/deces-2001.txt
2002,20191209-190702/deces-2002.txt
2003,20191209-190755/deces-2003.txt
2004,20191209-190852/deces-2004.txt
2005,20191209-190939/deces-2005.txt
2006,20191209-191027/deces-2006.txt
2007,20191209-191117/deces-2007.txt
2008,20191209-191225/deces-2008.txt
2009,20191209-191359/deces-2009.txt
2010,20191209-191659/deces-2010.txt
2011,20191209-191745/deces-2011.txt
2012,20191209-191851/deces-2012.txt
2013,20191209-191938/deces-2013.txt
2014,20191209-192022/deces-2014.txt
2015,20191209-192119/deces-2015.txt
2016,20191209-192203/deces-2016.txt
2017,20191209-192304/deces-2017.txt
2018,20191205-191652/deces-2018.txt
